,Unnamed: 0,Date,Town,State/Province,Latitude,Longitude,Number,Image
0,1,12/31/21,Kenner,LA,30.0,-90.3,2,
1,2,12/31/21,Pace,FL,30.6,-87.1,1,
2,3,12/31/21,Clearwater,FL,28.0,-82.7,1,
3,4,12/31/21,St. Petersburg,FL,27.8,-82.7,1,
4,5,12/31/21,Clearwater,FL,28.0,-82.8,2,
5,6,12/31/21,Richmond,TX,29.7,-95.8,4,
6,7,12/31/21,Spring,TX,30.0,-95.5,1,
7,8,12/31/21,Dallas,TX,32.7,-96.8,1,
8,9,12/31/21,Metairie,LA,30.0,-90.2,1,
9,10,12/31/21,Jacksonville,FL,30.3,-81.6,2,
10,11,12/31/21,North Charleston,SC,32.9,-80.0,1,
11,12,12/31/21,Middleburg,FL,30.1,-81.9,1,
12,13,12/31/21,Hollywood,SC,32.7,-80.2,1,
13,14,12/31/21,St. Petersburg,FL,27.8,-82.6,1,
14,15,12/31/21,Fort Worth,TX,32.8,-97.2,2,
15,16,12/31/21,The Villages,FL,28.9,-82.0,2,
16,17,12/31/21,San Antonio,TX,29.6,-98.3,10,
17,18,12/31/21,North Palm Beach,FL,26.8,-80.1,1,
18,19,12/31/21,Kingsland,GA,30.8,-81.6,1,
19,20,12/31/21,Valrico,FL,27.9,-82.2,1,
20,21,12/31/21,Pensacola,FL,30.4,-87.2,2,
21,22,12/31/21,Houston,TX,29.8,-95.3,1,
22,23,12/31/21,New Braunfels,TX,29.7,-98.1,1,
23,24,12/31/21,Savannah,GA,32.1,-81.1,6,
24,25,12/31/21,Gulf Breeze,FL,30.4,-87.1,1,
25,26,12/31/21,Houston,TX,30.0,-95.2,4,
26,27,12/31/21,Houston,TX,29.8,-95.4,2,
27,28,12/31/21,San Antonio,TX,29.7,-98.5,3,
28,29,12/31/21,San Antonio,TX,29.5,-98.6,20,
29,30,12/31/21,Slidell,LA,30.3,-89.8,1,
30,31,12/31/21,San Antonio,TX,29.5,-98.6,20,
31,32,12/31/21,Nederland,TX,30.0,-94.0,2,
