State/Province,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
AB,,1.4,1.0,1.0,2.0,1.0,1.0,1.25,1.0,1.0,1.0,,1.7272727272727273,,1.0,,,,,,,,,,,,,
AGU,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
AL,1.7142857142857142,5.201834862385321,3.271604938271605,6.3734177215189876,2.1944444444444446,6.214953271028038,4.686440677966102,3.6,2.5833333333333335,4.628571428571429,4.902439024390244,2.5,2.6739130434782608,2.122448979591837,1.0,,,1.0,1.0,,,,6.0,,,1.0,1.0,1.0
AR,3.232876712328767,1.6853932584269662,2.056603773584906,3.47972972972973,3.9685534591194966,7.935483870967742,5.527950310559007,3.4466019417475726,3.0081967213114753,4.126984126984127,4.0,3.36734693877551,3.282051282051282,4.1891891891891895,1.0,,,,,,,,,,,1.0,1.0,1.0
AZ,1.5,1.8468468468468469,1.7305389221556886,3.2451923076923075,1.6,2.218390804597701,2.6578947368421053,2.433333333333333,6.27906976744186,3.7704918032786887,2.9166666666666665,9.853658536585366,5.648148148148148,1.826086956521739,1.0,1.0,,,,,,,,,,,1.0,
BC,,1.5714285714285714,1.4,1.0,1.3333333333333333,1.0,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
BCN,,,,20.0,,,,,8.5,5.222222222222222,,,,,,,,,,,,,,,,,,
BCS,,,1.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,
Bay Islands Department,,1.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Berry Islands,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Bonaire,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1.77,9.753787878787879,2.9068877551020407,2.3337931034482757,4.159235668789809,2.066666666666667,317.2701421800948,235.8204334365325,246.69623655913978,513.2269736842105,609.7732558139535,9.385185185185184,82.83050847457628,11.925675675675675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0
CHH,,,1.0,,2.0,2.0,,1.0,,2.3333333333333335,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
CMX,,,1.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
CO,1.5263157894736843,1.4230769230769231,1.4580152671755726,1.6845637583892616,3.2906976744186047,1.1886792452830188,1.6875,1.8793103448275863,1.5232558139534884,2.2747252747252746,1.6666666666666667,1.75,1.3333333333333333,1.3461538461538463,1.0,,,,,,,,,,1.0,,1.0,1.0
COA,,100.0,2.2,6.142857142857143,22.666666666666668,50.18181818181818,4.529411764705882,5.785714285714286,1.75,4.75,9.153846153846153,4.7631578947368425,6.085714285714285,1.5161290322580645,1.0,,,,,,1.0,,,,,,1.0,1.0
CT,2.4035087719298245,2.0150375939849625,3.192170818505338,3.8902439024390243,2.744186046511628,5.928571428571429,3.389830508474576,4.350515463917525,2.0422535211267605,1.9438202247191012,2.1012658227848102,2.066666666666667,3.3207547169811322,2.3653846153846154,1.0,1.0,,,,,,,,,,1.0,1.0,1.0
Central Abaco,,1.0,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,
ColÃ³n Province,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
DC,1.25,1.0,1.393939393939394,2.5,1.3529411764705883,2.4375,3.53125,1.3103448275862069,1.6363636363636365,1.5,1.375,1.1176470588235294,1.8571428571428572,2.0,1.0,,,,,,,,,,1.0,,1.0,
DE,1.4814814814814814,1.3611111111111112,2.342857142857143,1.6521739130434783,2.5,2.1746031746031744,5.558139534883721,4.473684210526316,14.714285714285714,11.520833333333334,2.6923076923076925,3.7333333333333334,1.5,6.5,1.0,,,,,,,,,,,,,1.0
DUR,,,,3.0,,2.0,,1.0,1.5,1.0,9.142857142857142,,,,,,1.0,,,,,,,,,,,
Devonshire Parish,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
England,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,3.3552631578947367,1.834296724470135,2.0369565217391306,2.1495145631067962,2.9138888888888888,2.9901639344262296,4.064885496183206,5.986225895316805,2.568840579710145,3.8191489361702127,2.9661016949152543,2.081967213114754,3.79375,4.8924050632911396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2666666666666666,1.0,1.0,1.0,,1.0,1.0
GA,1.8627450980392157,2.4591439688715955,3.4075342465753424,3.3697813121272366,1.931740614334471,3.7787610619469025,2.686153846153846,2.6810035842293907,2.1018518518518516,2.706896551724138,2.9347826086956523,1.7738095238095237,3.0671641791044775,50.149532710280376,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0
GRO,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
GUA,,10.0,3.25,11.25,8.0,11.0,1121.7058823529412,4.416666666666667,13.545454545454545,3.0,,6.0,10.0,1.0,1.0,,,,,,,,,,,,,
Guanacaste Province,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
HI,,1.0,32.25,2.0,,4.4,,1.0,2.3,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
IA,4.592105263157895,2.4415584415584415,2.3875,3.2595419847328246,3.6875,16.76923076923077,5.5132275132275135,3.0538116591928253,2.7569444444444446,6.6,3.551282051282051,3.875,3.6944444444444446,20.63013698630137,1.0,1.5,4.0,,,,,,,15.0,1.0,1.0,1.0,1.0
ID,1.8571428571428572,1.5769230769230769,1.3043478260869565,1.75,1.4,3.3333333333333335,1.2941176470588236,1.8333333333333333,2.3,5.625,1.3636363636363635,2.2857142857142856,4.5,1.0,1.0,,,,,,,,,,,,,
IL,3.0670391061452515,2.6721014492753623,2.008522727272727,4.080669710806697,2.4139650872817957,6.881226053639847,3.4854545454545454,2.0605095541401273,2.0558659217877095,2.9724517906336088,2.112403100775194,2.005813953488372,2.5833333333333335,3.4615384615384617,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,1.0
IN,1.7553956834532374,2.1631205673758864,3.5104166666666665,4.129287598944591,2.4095238095238094,4.60875512995896,3.9527272727272726,2.3652694610778444,2.1059782608695654,2.6240601503759398,1.84304932735426,1.430232558139535,1.6585365853658536,3.0327868852459017,1.0,,,,,,,,,,,,1.0,1.0
JAL,2.0,,1.0,8.0,,1.3333333333333333,1.0,,,,2.0,,,,,,,,,,,,,,,,,
KS,8.405405405405405,2.441747572815534,3.410958904109589,42.007751937984494,7.276995305164319,10.284263959390863,5.1125,3.3483483483483485,2.778501628664495,5.718232044198895,4.075268817204301,4.845238095238095,2.0943396226415096,15.927536231884059,1.0,,,,,,,,,,1.0,,1.0,1.0
KY,1.3181818181818181,1.3020833333333333,1.6206896551724137,3.0106382978723403,4.638655462184874,4.201183431952662,3.362776025236593,2.164383561643836,3.5086206896551726,2.7222222222222223,2.514705882352941,2.272727272727273,2.2857142857142856,2.2142857142857144,1.0,,,,,,,,,,,,,1.0
LA,1.1666666666666667,1.9230769230769231,2.0,1.8501291989664084,1.472,2.1,2.235294117647059,2.08,3.201550387596899,114.93333333333334,2.0754716981132075,1.5128205128205128,3.9838709677419355,28.083333333333332,1.0222222222222221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
MA,1.3,1.572192513368984,1.7704081632653061,2.458823529411765,1.5681818181818181,3.6744186046511627,2.02262443438914,1.9300411522633745,1.4774193548387098,1.7105263157894737,1.3,1.3333333333333333,4.31496062992126,2.0344827586206895,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
MB,1.5833333333333333,1.7358490566037736,1.56,2.0384615384615383,1.3255813953488371,3.48,5.793103448275862,1.5625,1.1935483870967742,1.619047619047619,2.2777777777777777,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0
