State/Province,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AB,,,,,,,,,,,,,,1.0,,19.0,,1.0,1.0,4.0,10.0,1.0,2.0,8.0,6.0,1.0,7.0,
AGU,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,
AK,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,13.0,9.0,1.0,,,6.0,,,,1.0,1.0,,,17.0,104.0,123.0,55.0,201.0,162.0,248.0,306.0,553.0,665.0,237.0,1007.0,530.0,567.0,24.0
AR,11.0,3.0,1.0,,,,,,,,,,,28.0,155.0,128.0,165.0,308.0,260.0,367.0,355.0,890.0,738.0,631.0,515.0,218.0,150.0,236.0
AZ,,1.0,,,,,,,,,,,1.0,56.0,84.0,305.0,404.0,105.0,230.0,810.0,146.0,101.0,193.0,112.0,675.0,289.0,205.0,9.0
BC,,,,,,,,,,,,,,,,,3.0,9.0,3.0,2.0,,1.0,3.0,4.0,1.0,7.0,11.0,
BCN,,,,,,,,,,,,,,,,,,,47.0,17.0,,,,,20.0,,,
BCS,,,,,,,,,,,,,,,,38.0,,,,,,,,,,1.0,,
Bay Islands Department,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,
Berry Islands,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
CA,8.0,1.0,,,,9.0,9.0,3.0,17.0,17.0,4.0,2.0,34.0,85.0,1765.0,9774.0,1267.0,104881.0,156021.0,91771.0,76170.0,66944.0,775.0,1959.0,1692.0,2279.0,1150.0,177.0
CHH,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,7.0,,1.0,,2.0,2.0,,1.0,,
CMX,,,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,1.0,,
CO,6.0,4.0,,2.0,,,,,,,,,,29.0,35.0,8.0,35.0,40.0,207.0,131.0,109.0,162.0,63.0,283.0,251.0,191.0,222.0,29.0
COA,3.0,9.0,,,,,,1.0,,,,,,46.0,47.0,213.0,181.0,238.0,76.0,7.0,81.0,77.0,552.0,272.0,86.0,11.0,100.0,
CT,4.0,10.0,1.0,,,,,,,,,,2.0,37.0,123.0,176.0,62.0,166.0,173.0,290.0,844.0,400.0,996.0,472.0,1276.0,897.0,268.0,137.0
Central Abaco,,,,,,,,,,,,,,2.0,,1.0,,,,,,2.0,,,,,1.0,
ColÃ³n Province,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
